VisonForge,YOLO
100,0.1658374793
100,4.166666667
100,2.272727273
100,2.631578947
100,2.5
100,3.03030303
100,3.333333333
100,3.846153846
100,3.571428571
100,3.846153846
100,4.761904762
100,3.448275862
100,4
100,4
100,5
100,4
100,4.347826087
100,3.846153846
100,5
100,4.347826087
100,3.571428571
100,5
100,3.225806452
100,4.761904762
100,4.347826087
100,3.846153846
100,4
100,3.703703704
100,3.703703704
100,3.571428571
100,4.166666667
100,4
100,2.857142857
100,2.127659574
100,2.083333333
100,1.639344262
100,2.222222222
100,3.125
100,3.846153846
100,4
100,4.166666667
100,4
100,4.347826087
100,4.545454545
100,4.166666667
100,4.761904762
100,3.846153846
100,4.761904762
100,4
100,5
100,4.545454545
100,4
100,4.166666667
100,3.846153846
100,4
100,4.347826087
100,2.941176471
100,3.225806452
100,3.125
100,3.571428571
100,3.846153846
100,4.545454545
100,4.166666667
100,4
100,4.545454545
100,4.166666667
100,4.761904762
100,3.846153846
100,5
100,4.166666667
100,4.545454545
100,4.347826087
100,4
100,4.166666667
100,4.347826087
100,4.761904762
100,4.166666667
100,4.761904762
100,5
100,4.545454545
100,4
100,4.166666667
100,4.166666667
100,3.846153846
100,4.761904762
100,4.166666667
100,4.166666667
100,4.545454545
100,4.545454545
100,4.545454545
100,4.761904762
100,4
100,5
100,3.703703704
100,5
100,4.545454545
100,4.347826087
100,3.703703704
100,3.333333333
100,3.571428571
100,3.448275862
100,1.923076923
100,4.545454545
100,3.846153846
100,4.347826087
100,4.545454545
100,4.545454545
100,4.347826087
100,5
100,3.846153846
100,5
100,4.761904762
100,4.347826087
100,4.761904762
100,4.545454545
100,4.545454545
100,4.761904762
100,4.166666667
100,4
100,4.166666667
100,4.761904762
100,4.166666667
100,4.545454545
100,4.545454545
100,4
100,4.761904762
100,4.166666667
100,5
100,3.225806452
100,5
100,5
100,4.166666667
100,4.761904762
100,4
100,5
100,5
100,4
100,4.347826087
100,5
100,4
100,3.846153846
100,4.347826087
100,4.545454545
100,4
100,4.545454545
100,4.347826087
100,4.166666667
100,4.761904762
100,4.347826087
100,4.545454545
100,4.545454545
100,4.347826087
100,3.846153846
100,3.571428571
100,4.347826087
100,4
100,5
100,5
100,4
100,3.846153846
100,4.166666667
100,4.166666667
100,4.761904762
100,4.166666667
100,4.545454545
100,4.545454545
100,4
100,4.761904762
100,4.166666667
100,5
100,4.761904762
100,5
100,5
100,5
100,5.263157895
100,4.545454545
100,5
100,5
100,5
100,5
100,5
100,4.545454545
100,5
100,5
100,4.761904762
100,5
100,5
100,5
100,5
100,5
100,5
100,5
100,5
100,4.761904762
100,5
100,4.761904762
100,5
100,5
100,4.761904762
100,4.761904762
100,5.263157895
100,5
100,5
100,5
100,4.761904762
100,4.347826087
100,4.347826087
100,4.347826087
100,4.166666667
100,4.545454545
100,4.761904762
100,4.166666667
100,4.761904762
100,4.347826087
100,5
100,4.761904762
100,4.347826087
100,5.263157895
100,3.846153846
100,5
100,5
100,4.347826087
100,5
100,5.263157895
100,4.347826087
100,5
100,5.263157895
100,5
100,5.263157895
100,5
100,5.263157895
100,5
100,5.263157895
100,5.263157895
100,5
100,5
100,5
100,5.263157895
100,5.263157895
100,5
100,4.761904762
100,5
100,5.263157895
100,5
100,5.263157895
100,3.703703704
100,5.263157895
100,2.857142857
100,2.631578947
100,2.43902439
100,4.166666667
100,4.347826087
100,4.166666667
100,5.263157895
100,4
100,5
100,4.347826087
100,5.263157895
100,4.166666667
100,5.263157895
100,5.263157895
100,5.263157895
100,5
100,5.263157895
100,4.166666667
100,4
100,5
100,4.545454545
100,4
100,4
100,4
100,4.347826087
100,4.761904762
100,5
100,4.761904762
100,4.545454545
100,4.347826087
100,2.040816327
100,2.941176471
100,2.702702703
100,3.846153846
100,4.545454545
100,4.545454545
100,4.347826087
100,4.347826087
100,5
100,4.347826087
100,2.702702703
100,2.380952381
100,2.857142857
100,2.380952381
100,5
100,5
100,4.761904762
100,4.166666667
100,5
100,5
100,5
100,5.263157895
100,4.761904762
100,5.263157895
100,4.761904762
100,5.263157895
100,4.761904762
100,5
100,5.263157895
100,5.263157895
100,5
100,5.263157895
100,4.761904762
100,5.263157895
100,5
100,4
100,5.263157895
100,4.761904762
100,5.263157895
100,4.761904762
100,5.263157895
100,4.347826087
100,5.263157895
100,5
100,5
100,5
100,5
100,5
100,4.545454545
100,5.263157895
100,5
100,4.761904762
100,5.263157895
100,4.761904762
100,4.347826087
100,3.571428571
100,4
100,5.263157895
100,4.761904762
100,5
100,4.761904762
100,5
100,5
100,5
100,4.545454545
100,5
100,4.761904762
100,5.263157895
100,4.761904762
100,5
50,5
50,4.761904762
50,5
100,3.225806452
100,4.761904762
100,5.263157895
50,5
100,5.263157895
100,4.761904762
100,4.545454545
50,3.846153846
100,3.846153846
100,3.448275862
100,3.846153846
50,4
50,3.448275862
100,3.03030303
100,4.166666667
100,4.166666667
50,3.703703704
50,4.347826087
100,4.347826087
100,4.166666667
100,4.545454545
100,4
50,4
50,4.545454545
100,4
100,3.703703704
100,4.545454545
100,4.545454545
50,4.761904762
100,4.545454545
100,4.761904762
100,4.166666667
100,3.846153846
100,4.545454545
50,4.545454545
100,5
50,4.545454545
100,4.761904762
100,4.166666667
50,4.545454545
50,4.761904762
50,4.545454545
100,4.761904762
100,5
100,4.761904762
100,4.545454545
100,3.333333333
100,3.703703704
100,3.846153846
100,4.166666667
100,4.761904762
100,4.761904762
100,4.545454545
100,5
100,4.545454545
100,4.761904762
50,5
50,4.545454545
50,4.347826087
100,4
100,4.761904762
50,4.545454545
100,3.703703704
100,3.846153846
100,5
100,4.761904762
100,4.761904762
100,4.347826087
100,3.846153846
50,3.846153846
50,4.166666667
100,4.761904762
100,3.703703704
100,4
100,4.347826087
100,3.703703704
100,5
100,3.703703704
50,4.761904762
100,2.941176471
100,4.761904762
100,3.846153846
100,4.545454545
100,3.448275862
100,3.703703704
100,4.166666667
100,4.347826087
50,3.846153846
100,3.846153846
100,4.347826087
100,4.166666667
100,4.545454545
100,4.166666667
50,4.545454545
100,4
100,4.761904762
100,3.846153846
100,4.761904762
100,3.846153846
100,4.166666667
50,4.761904762
100,3.846153846
100,3.703703704
50,3.846153846
100,3.846153846
100,4.166666667
100,4.347826087
100,3.846153846
100,4.761904762
100,3.846153846
100,5
50,3.846153846
100,5
100,3.571428571
100,3.846153846
100,3.703703704
100,5
100,2.857142857
100,5
100,4.545454545
100,3.846153846
100,5
100,4.166666667
100,4
100,3.846153846
100,3.846153846
100,3.846153846
100,4.761904762
100,3.846153846
50,4.347826087
50,4.545454545
100,4.347826087
100,4.166666667
100,4.347826087
50,4.166666667
50,5
100,3.846153846
100,4.347826087
100,3.448275862
100,4.545454545
100,4.545454545
100,4
100,3.703703704
100,4.347826087
100,4.545454545
100,4.761904762
100,5
100,4.761904762
100,5
100,4.545454545
100,4.761904762
100,4.761904762
100,4.761904762
100,5
100,4.761904762
100,4.761904762
100,4.166666667
100,4.166666667
100,4.761904762
100,4.761904762
100,5
100,4.545454545
100,4.545454545
100,5
100,4.545454545
100,5
100,5
50,4.761904762
100,5
100,4.545454545
100,5
100,4.545454545
100,5
100,4.761904762
100,5
100,4.761904762
100,4.545454545
100,4.545454545
100,4.166666667
100,4.761904762
100,4.166666667
100,4.761904762
100,4.545454545
50,5
100,4.761904762
100,4.761904762
100,4.761904762
50,4.545454545
50,4.761904762
50,4.761904762
50,5
50,3.846153846
100,4.347826087
50,4.545454545
100,4.545454545
100,4.347826087
100,3.846153846
50,4.347826087
50,5
50,4.347826087
50,4.545454545
50,4.545454545
50,5
100,4.545454545
50,4.545454545
50,4.761904762
50,4.347826087
100,4.545454545
50,3.571428571
100,4.545454545
50,4.761904762
50,4.545454545
100,4.545454545
100,4.545454545
100,5
100,4.347826087
50,5
100,4.545454545
50,4.761904762
100,4.545454545
50,4.761904762
50,4.545454545
50,4.545454545
100,5
100,4.347826087
100,5
100,4.545454545
100,5
100,4.347826087
100,5
100,4.347826087
100,4.761904762
100,4.545454545
100,5
50,4.761904762
100,4.347826087
100,4.347826087
100,4.761904762
50,4.761904762
100,4.545454545
100,4.761904762
100,4.761904762
50,4.545454545
50,4.545454545
100,5
100,4.545454545
50,4.761904762
50,4.761904762
50,4.545454545
100,4.761904762
100,5
100,4.761904762
100,4.761904762
100,4.347826087